"Date","Price","Open","High","Low","Vol.","Change %"
"04/18/2025","146.66","152.52","153.40","142.90","9.36M","-3.63%"
"04/17/2025","152.18","151.00","152.99","150.99","916.31K","0.56%"
"04/16/2025","151.34","152.55","153.50","150.50","1.08M","-0.75%"
"04/15/2025","152.48","153.90","154.60","152.05","1.78M","0.12%"
"04/14/2025","152.30","150.00","154.00","150.00","1.75M","1.54%"
"04/11/2025","149.99","152.00","152.00","149.11","716.34K","-0.70%"
"04/10/2025","151.04","153.95","153.95","150.67","2.93M","0.53%"
"04/09/2025","150.25","150.90","152.50","148.75","987.74K","-0.60%"
"04/08/2025","151.15","154.00","154.50","150.02","2.34M","-0.57%"
"04/07/2025","152.01","155.51","158.00","143.11","1.97M","-3.94%"
"04/04/2025","158.24","154.48","162.50","154.00","5.44M","2.95%"
"04/03/2025","153.70","153.48","154.90","152.08","1.20M","0.60%"
"03/27/2025","152.79","153.97","154.00","152.50","568.48K","-0.07%"
"03/26/2025","152.89","153.00","154.50","152.07","754.54K","0.85%"
"03/25/2025","151.60","151.02","154.10","151.00","818.44K","0.09%"
"03/24/2025","151.46","154.40","154.40","151.00","191.59K","-0.58%"
"03/21/2025","152.34","155.20","155.60","152.05","1.18M","-1.10%"
"03/20/2025","154.03","154.11","155.00","153.88","1.92M","0.01%"
"03/19/2025","154.02","153.70","155.00","153.00","1.12M","0.42%"
"03/18/2025","153.38","152.50","153.90","152.50","1.06M","0.58%"
"03/17/2025","152.49","153.00","153.90","152.10","1.34M","-3.12%"
"03/14/2025","157.40","157.99","158.88","156.71","381.40K","0.03%"
"03/13/2025","157.36","156.88","160.75","156.50","1.20M","0.65%"
"03/12/2025","156.35","155.65","157.99","155.55","766.77K","0.45%"
"03/11/2025","155.65","158.00","158.99","155.01","785.70K","-1.12%"
"03/10/2025","157.42","154.98","158.50","153.74","1.36M","2.23%"
"03/07/2025","153.99","153.99","154.60","153.17","213.96K","0.40%"
"03/06/2025","153.38","152.85","154.00","151.30","380.00K","1.13%"
"03/05/2025","151.67","153.00","154.00","151.11","286.99K","-0.82%"
"03/04/2025","152.93","152.00","153.48","151.00","217.87K","1.06%"
"03/03/2025","151.33","152.00","152.90","150.00","175.84K","-0.75%"
"02/28/2025","152.47","153.00","153.45","151.53","1.15M","0.51%"
"02/27/2025","151.69","153.50","154.40","150.31","670.01K","-1.33%"
"02/26/2025","153.74","155.01","156.39","152.90","808.79K","-1.28%"
"02/25/2025","155.73","157.00","160.00","154.20","2.33M","0.87%"
"02/24/2025","154.38","158.50","158.50","149.60","7.25M","-2.41%"
"02/21/2025","158.20","160.70","161.97","157.50","468.45K","-1.39%"
"02/20/2025","160.43","162.72","162.72","159.11","898.04K","-1.25%"
"02/19/2025","162.46","165.79","167.00","162.05","1.21M","-1.49%"
"02/18/2025","164.91","163.85","165.30","162.50","410.20K","1.29%"
"02/17/2025","162.81","162.52","163.98","160.52","246.52K","0.18%"
"02/14/2025","162.52","164.47","164.50","162.00","313.82K","-0.45%"
"02/13/2025","163.26","163.05","164.89","162.52","313.06K","-0.10%"
"02/12/2025","163.42","165.50","167.86","162.84","866.33K","-1.27%"
"02/11/2025","165.53","167.00","168.95","164.25","493.31K","-0.36%"
"02/10/2025","166.12","164.05","168.00","160.10","516.17K","1.21%"
"02/07/2025","164.14","165.00","168.49","163.20","1.57M","-0.38%"
"02/06/2025","164.77","170.00","171.00","163.20","2.17M","-2.81%"
"02/04/2025","169.54","173.00","173.49","169.05","1.73M","-1.63%"
"02/03/2025","172.35","176.00","177.00","172.00","1.02M","-2.07%"
"01/31/2025","175.99","173.17","179.40","173.00","2.65M","1.29%"
"01/30/2025","173.75","173.00","175.40","173.00","1.13M","0.02%"
"01/29/2025","173.72","175.90","175.90","172.05","1.52M","-0.54%"
"01/28/2025","174.67","175.38","175.88","172.70","2.28M","0.21%"
"01/27/2025","174.30","174.52","176.10","173.60","2.68M","-0.12%"
"01/24/2025","174.51","172.70","176.40","171.75","3.35M","1.67%"
"01/23/2025","171.65","173.39","173.39","171.50","713.49K","-0.34%"
"01/22/2025","172.23","173.87","175.05","171.60","3.47M","-0.94%"
"01/21/2025","173.87","175.90","176.50","173.25","2.76M","0.36%"
"01/20/2025","173.25","172.90","175.25","172.10","1.66M","0.03%"
"01/17/2025","173.19","173.00","174.00","171.51","1.71M","0.49%"
"01/16/2025","172.35","172.95","173.48","171.01","1.23M","0.38%"
"01/15/2025","171.70","173.30","174.80","171.50","1.55M","-0.10%"
"01/14/2025","171.87","173.93","173.95","171.26","812.56K","-0.72%"
"01/13/2025","173.11","173.11","174.00","172.00","832.35K","0.52%"
"01/10/2025","172.22","174.48","174.48","171.51","543.99K","-1.11%"
"01/09/2025","174.15","172.10","176.00","170.50","1.87M","0.64%"
"01/08/2025","173.05","176.80","178.50","171.50","673.20K","-2.02%"
"01/07/2025","176.61","180.11","181.75","171.10","2.68M","-1.88%"
"01/06/2025","180.00","182.90","182.90","176.50","4.29M","-0.90%"
"01/03/2025","181.63","177.76","182.50","174.00","4.58M","2.61%"
"01/02/2025","177.01","174.00","179.95","174.00","4.39M","1.35%"
"01/01/2025","174.65","174.95","175.50","172.55","1.80M","0.66%"
